row_index,lotName,failureType,nativeSplit,split
92,lot4,none,Training,train
93,lot4,none,Training,train
94,lot4,none,Training,train
95,lot4,none,Training,train
96,lot4,none,Training,train
97,lot4,none,Training,train
98,lot4,none,Training,train
99,lot4,none,Training,train
100,lot5,Edge-Ring,Training,train
101,lot5,none,Training,train
102,lot5,none,Training,train
103,lot5,none,Training,train
104,lot5,none,Training,train
105,lot5,none,Training,train
106,lot5,none,Training,train
107,lot5,none,Training,train
108,lot5,none,Training,train
109,lot5,none,Training,train
110,lot5,none,Training,train
111,lot5,none,Training,train
112,lot5,none,Training,train
113,lot5,none,Training,train
114,lot5,none,Training,train
115,lot5,none,Training,train
116,lot5,none,Training,train
117,lot5,none,Training,train
118,lot5,none,Training,train
119,lot5,none,Training,train
121,lot5,none,Training,train
122,lot5,none,Training,train
123,lot5,none,Training,train
124,lot5,none,Training,train
125,lot6,none,Training,validation
126,lot6,none,Training,validation
127,lot6,none,Training,validation
128,lot6,none,Training,validation
129,lot6,none,Training,validation
130,lot6,none,Training,validation
131,lot6,none,Training,validation
132,lot6,none,Training,validation
133,lot6,none,Training,validation
134,lot6,Scratch,Training,validation
135,lot6,none,Training,validation
136,lot6,none,Training,validation
137,lot6,none,Training,validation
138,lot6,none,Training,validation
139,lot6,none,Training,validation
140,lot6,none,Training,validation
141,lot6,none,Training,validation
142,lot6,none,Training,validation
143,lot6,none,Training,validation
144,lot6,none,Training,validation
145,lot6,none,Training,validation
146,lot6,none,Training,validation
147,lot6,none,Training,validation
148,lot6,none,Training,validation
149,lot6,none,Training,validation
150,lot7,none,Training,train
151,lot7,none,Training,train
152,lot7,none,Training,train
153,lot7,none,Training,train
154,lot7,none,Training,train
155,lot7,none,Training,train
156,lot7,none,Training,train
157,lot7,none,Training,train
160,lot7,none,Training,train
162,lot7,none,Training,train
164,lot7,none,Training,train
168,lot7,none,Training,train
169,lot7,none,Training,train
170,lot7,none,Training,train
171,lot7,none,Training,train
172,lot7,none,Training,train
173,lot7,none,Training,train
174,lot7,none,Training,train
175,lot8,none,Training,train
177,lot8,none,Training,train
178,lot8,none,Training,train
179,lot8,none,Training,train
180,lot8,none,Training,train
181,lot8,none,Training,train
182,lot8,none,Training,train
183,lot8,none,Training,train
184,lot8,none,Training,train
186,lot8,Edge-Ring,Training,train
187,lot8,none,Training,train
188,lot8,none,Training,train
189,lot8,none,Training,train
190,lot8,none,Training,train
191,lot8,none,Training,train
192,lot8,none,Training,train
193,lot8,none,Training,train
194,lot8,none,Training,train
195,lot8,none,Training,train
196,lot8,none,Training,train
197,lot8,none,Training,train
198,lot8,none,Training,train
199,lot8,none,Training,train
200,lot9,none,Training,validation
201,lot9,none,Training,validation
203,lot9,none,Training,validation
204,lot9,none,Training,validation
205,lot9,none,Training,validation
206,lot9,none,Training,validation
207,lot9,none,Training,validation
208,lot9,none,Training,validation
209,lot9,none,Training,validation
210,lot9,none,Training,validation
211,lot9,none,Training,validation
212,lot9,none,Training,validation
213,lot9,none,Training,validation
214,lot9,none,Training,validation
215,lot9,none,Training,validation
216,lot9,none,Training,validation
217,lot9,none,Training,validation
218,lot9,none,Training,validation
220,lot9,none,Training,validation
222,lot9,none,Training,validation
223,lot9,none,Training,validation
224,lot9,none,Training,validation
225,lot10,none,Training,train
226,lot10,none,Training,train
227,lot10,none,Training,train
228,lot10,none,Training,train
229,lot10,none,Training,train
230,lot10,none,Training,train
232,lot10,none,Training,train
233,lot10,none,Training,train
234,lot10,none,Training,train
235,lot10,none,Training,train
236,lot10,none,Training,train
237,lot10,none,Training,train
238,lot10,none,Training,train
239,lot10,none,Training,train
240,lot10,none,Training,train
241,lot10,none,Training,train
242,lot10,none,Training,train
243,lot10,none,Training,train
244,lot10,none,Training,train
245,lot10,none,Training,train
246,lot10,none,Training,train
247,lot10,none,Training,train
248,lot10,none,Training,train
249,lot10,none,Training,train
250,lot11,none,Training,validation
253,lot11,none,Training,validation
254,lot11,none,Training,validation
255,lot11,none,Training,validation
256,lot11,none,Training,validation
257,lot11,none,Training,validation
258,lot11,none,Training,validation
259,lot11,none,Training,validation
260,lot11,none,Training,validation
261,lot11,none,Training,validation
262,lot11,none,Training,validation
263,lot11,none,Training,validation
264,lot11,Edge-Loc,Training,validation
265,lot11,none,Training,validation
266,lot11,none,Training,validation
267,lot11,none,Training,validation
268,lot11,none,Training,validation
269,lot11,none,Training,validation
270,lot11,none,Training,validation
271,lot11,none,Training,validation
272,lot11,none,Training,validation
273,lot11,none,Training,validation
274,lot11,none,Training,validation
275,lot12,none,Training,train
277,lot12,none,Training,train
278,lot12,none,Training,train
279,lot12,none,Training,train
280,lot12,none,Training,train
281,lot12,none,Training,train
282,lot12,none,Training,train
283,lot12,none,Training,train
284,lot12,none,Training,train
285,lot12,none,Training,train
286,lot12,none,Training,train
287,lot12,none,Training,train
289,lot12,none,Training,train
290,lot12,none,Training,train
291,lot12,none,Training,train
292,lot12,none,Training,train
293,lot12,none,Training,train
294,lot12,none,Training,train
295,lot12,none,Training,train
296,lot12,none,Training,train
298,lot12,none,Training,train
299,lot12,none,Training,train
300,lot13,none,Training,validation
301,lot13,none,Training,validation
302,lot13,none,Training,validation
303,lot13,none,Training,validation
304,lot13,none,Training,validation
305,lot13,none,Training,validation
306,lot13,none,Training,validation
307,lot13,none,Training,validation
308,lot13,none,Training,validation
309,lot13,none,Training,validation
310,lot13,none,Training,validation
311,lot13,none,Training,validation
312,lot13,none,Training,validation
313,lot13,none,Training,validation
314,lot13,none,Training,validation
315,lot13,none,Training,validation
316,lot13,none,Training,validation
317,lot13,none,Training,validation
318,lot13,none,Training,validation
319,lot13,none,Training,validation
320,lot13,none,Training,validation
321,lot13,none,Training,validation
322,lot13,none,Training,validation
323,lot13,none,Training,validation
325,lot14,none,Training,validation
326,lot14,none,Training,validation
327,lot14,none,Training,validation
328,lot14,none,Training,validation
331,lot14,none,Training,validation
332,lot14,none,Training,validation
333,lot14,none,Training,validation
334,lot14,none,Training,validation
335,lot14,none,Training,validation
336,lot14,none,Training,validation
337,lot14,none,Training,validation
339,lot14,none,Training,validation
340,lot14,none,Training,validation
341,lot14,none,Training,validation
342,lot14,none,Training,validation
344,lot14,none,Training,validation
346,lot14,none,Training,validation
347,lot14,none,Training,validation
348,lot14,none,Training,validation
349,lot14,none,Training,validation
350,lot15,none,Training,train
351,lot15,none,Training,train
352,lot15,none,Training,train
353,lot15,none,Training,train
354,lot15,none,Training,train
355,lot15,none,Training,train
356,lot15,none,Training,train
357,lot15,none,Training,train
358,lot15,none,Training,train
359,lot15,none,Training,train
360,lot15,none,Training,train
361,lot15,none,Training,train
362,lot15,none,Training,train
363,lot15,none,Training,train
364,lot15,none,Training,train
365,lot15,none,Training,train
368,lot15,none,Training,train
369,lot15,none,Training,train
371,lot15,none,Training,train
372,lot15,none,Training,train
373,lot15,none,Training,train
374,lot15,none,Training,train
375,lot16,none,Training,train
376,lot16,none,Training,train
377,lot16,Edge-Loc,Training,train
378,lot16,none,Training,train
379,lot16,none,Training,train
380,lot16,none,Training,train
381,lot16,Edge-Loc,Training,train
382,lot16,none,Training,train
383,lot16,none,Training,train
384,lot16,none,Training,train
386,lot16,none,Training,train
387,lot16,none,Training,train
388,lot16,none,Training,train
391,lot16,none,Training,train
392,lot16,none,Training,train
393,lot16,none,Training,train
394,lot16,none,Training,train
395,lot16,none,Training,train
396,lot16,none,Training,train
397,lot16,Edge-Loc,Training,train
398,lot16,none,Training,train
399,lot16,none,Training,train
400,lot17,none,Training,train
401,lot17,none,Training,train
402,lot17,none,Training,train
403,lot17,none,Training,train
404,lot17,none,Training,train
406,lot17,none,Training,train
407,lot17,none,Training,train
408,lot17,none,Training,train
410,lot17,none,Training,train
413,lot17,none,Training,train
414,lot17,none,Training,train
415,lot17,none,Training,train
416,lot17,none,Training,train
417,lot17,none,Training,train
418,lot17,none,Training,train
419,lot17,none,Training,train
420,lot17,none,Training,train
421,lot17,none,Training,train
422,lot17,none,Training,train
423,lot17,none,Training,train
424,lot17,none,Training,train
425,lot18,none,Training,train
426,lot18,none,Training,train
427,lot18,none,Training,train
428,lot18,none,Training,train
429,lot18,none,Training,train
430,lot18,none,Training,train
431,lot18,none,Training,train
432,lot18,none,Training,train
433,lot18,none,Training,train
434,lot18,none,Training,train
435,lot18,none,Training,train
436,lot18,none,Training,train
437,lot18,none,Training,train
438,lot18,none,Training,train
439,lot18,none,Training,train
440,lot18,none,Training,train
442,lot18,none,Training,train
443,lot18,none,Training,train
444,lot18,none,Training,train
446,lot18,Edge-Loc,Training,train
447,lot18,none,Training,train
448,lot18,none,Training,train
450,lot19,none,Training,train
451,lot19,none,Training,train
452,lot19,none,Training,train
453,lot19,none,Training,train
454,lot19,none,Training,train
455,lot19,none,Training,train
457,lot19,none,Training,train
458,lot19,none,Training,train
459,lot19,none,Training,train
460,lot19,none,Training,train
462,lot19,none,Training,train
464,lot19,none,Training,train
465,lot19,none,Training,train
466,lot19,none,Training,train
467,lot19,none,Training,train
468,lot19,none,Training,train
469,lot19,none,Training,train
470,lot19,none,Training,train
472,lot19,none,Training,train
473,lot19,none,Training,train
474,lot19,none,Training,train
475,lot20,none,Training,train
476,lot20,none,Training,train
477,lot20,Edge-Loc,Training,train
478,lot20,none,Training,train
479,lot20,none,Training,train
480,lot20,none,Training,train
482,lot20,none,Training,train
483,lot20,none,Training,train
484,lot20,none,Training,train
485,lot20,none,Training,train
486,lot20,Edge-Loc,Training,train
487,lot20,none,Training,train
488,lot20,none,Training,train
489,lot20,none,Training,train
490,lot20,none,Training,train
491,lot20,none,Training,train
492,lot20,none,Training,train
493,lot20,none,Training,train
494,lot20,none,Training,train
495,lot20,none,Training,train
496,lot20,none,Training,train
497,lot20,none,Training,train
498,lot20,none,Training,train
499,lot20,none,Training,train
500,lot21,none,Training,train
502,lot21,none,Training,train
503,lot21,none,Training,train
504,lot21,none,Training,train
505,lot21,none,Training,train
506,lot21,none,Training,train
507,lot21,none,Training,train
508,lot21,none,Training,train
509,lot21,none,Training,train
510,lot21,none,Training,train
512,lot21,none,Training,train
513,lot21,none,Training,train
514,lot21,none,Training,train
516,lot21,none,Training,train
517,lot21,none,Training,train
518,lot21,none,Training,train
519,lot21,none,Training,train
520,lot21,none,Training,train
521,lot21,none,Training,train
522,lot21,none,Training,train
525,lot22,none,Training,train
526,lot22,none,Training,train
527,lot22,none,Training,train
528,lot22,none,Training,train
530,lot22,none,Training,train
531,lot22,none,Training,train
532,lot22,none,Training,train
533,lot22,none,Training,train
534,lot22,none,Training,train
535,lot22,none,Training,train
536,lot22,none,Training,train
537,lot22,none,Training,train
538,lot22,none,Training,train
539,lot22,none,Training,train
540,lot22,none,Training,train
541,lot22,none,Training,train
542,lot22,none,Training,train
543,lot22,none,Training,train
544,lot22,none,Training,train
546,lot22,none,Training,train
547,lot22,none,Training,train
548,lot22,none,Training,train
550,lot23,none,Training,validation
551,lot23,none,Training,validation
552,lot23,none,Training,validation
554,lot23,none,Training,validation
556,lot23,none,Training,validation
557,lot23,none,Training,validation
558,lot23,none,Training,validation
559,lot23,none,Training,validation
560,lot23,none,Training,validation
561,lot23,none,Training,validation
562,lot23,none,Training,validation
563,lot23,none,Training,validation
564,lot23,none,Training,validation
565,lot23,none,Training,validation
566,lot23,none,Training,validation
567,lot23,none,Training,validation
568,lot23,none,Training,validation
569,lot23,none,Training,validation
570,lot23,none,Training,validation
571,lot23,none,Training,validation
572,lot23,none,Training,validation
573,lot23,none,Training,validation
574,lot23,none,Training,validation
576,lot24,none,Training,train
577,lot24,none,Training,train
579,lot24,none,Training,train
580,lot24,none,Training,train
581,lot24,none,Training,train
582,lot24,none,Training,train
583,lot24,none,Training,train
584,lot24,none,Training,train
585,lot24,none,Training,train
586,lot24,none,Training,train
587,lot24,none,Training,train
588,lot24,none,Training,train
589,lot24,none,Training,train
591,lot24,none,Training,train
593,lot24,none,Training,train
594,lot24,none,Training,train
596,lot24,none,Training,train
597,lot24,none,Training,train
598,lot24,none,Training,train
599,lot24,Scratch,Training,train
600,lot25,none,Training,train
601,lot25,none,Training,train
602,lot25,Random,Training,train
603,lot25,none,Training,train
604,lot25,Center,Training,train
605,lot25,none,Training,train
606,lot25,none,Training,train
607,lot25,none,Training,train
608,lot25,none,Training,train
609,lot25,none,Training,train
610,lot25,none,Training,train
611,lot25,none,Training,train
612,lot25,none,Training,train
613,lot25,none,Training,train
615,lot25,none,Training,train
616,lot25,none,Training,train
618,lot25,none,Training,train
619,lot25,none,Training,train
621,lot25,none,Training,train
623,lot25,none,Training,train
624,lot25,none,Training,train
625,lot26,none,Training,validation
626,lot26,none,Training,validation
627,lot26,none,Training,validation
628,lot26,none,Training,validation
629,lot26,none,Training,validation
630,lot26,none,Training,validation
631,lot26,none,Training,validation
632,lot26,none,Training,validation
634,lot26,none,Training,validation
635,lot26,none,Training,validation
637,lot26,none,Training,validation
638,lot26,none,Training,validation
639,lot26,none,Training,validation
641,lot26,none,Training,validation
642,lot26,none,Training,validation
643,lot26,none,Training,validation
644,lot26,none,Training,validation
645,lot26,none,Training,validation
646,lot26,Loc,Training,validation
648,lot26,none,Training,validation
649,lot26,none,Training,validation
650,lot27,none,Training,train
651,lot27,none,Training,train
652,lot27,none,Training,train
653,lot27,none,Training,train
654,lot27,none,Training,train
655,lot27,none,Training,train
656,lot27,none,Training,train
657,lot27,none,Training,train
658,lot27,none,Training,train
659,lot27,none,Training,train
660,lot27,none,Training,train
661,lot27,none,Training,train
662,lot27,none,Training,train
666,lot27,Edge-Loc,Training,train
667,lot27,none,Training,train
668,lot27,none,Training,train
669,lot27,none,Training,train
670,lot27,none,Training,train
671,lot27,none,Training,train
672,lot27,none,Training,train
673,lot27,none,Training,train
674,lot27,none,Training,train
675,lot28,none,Training,train
676,lot28,none,Training,train
677,lot28,none,Training,train
678,lot28,none,Training,train
680,lot28,Loc,Training,train
681,lot28,none,Training,train
683,lot28,none,Training,train
684,lot28,none,Training,train
685,lot28,none,Training,train
686,lot28,none,Training,train
687,lot28,none,Training,train
688,lot28,none,Training,train
689,lot28,none,Training,train
690,lot28,none,Training,train
691,lot28,none,Training,train
694,lot28,none,Training,train
695,lot28,none,Training,train
696,lot28,none,Training,train
697,lot28,none,Training,train
698,lot28,none,Training,train
699,lot28,none,Training,train
700,lot29,none,Training,train
701,lot29,none,Training,train
702,lot29,none,Training,train
704,lot29,none,Training,train
706,lot29,none,Training,train
707,lot29,none,Training,train
708,lot29,none,Training,train
709,lot29,none,Training,train
711,lot29,none,Training,train
713,lot29,none,Training,train
714,lot29,none,Training,train
715,lot29,none,Training,train
716,lot29,none,Training,train
717,lot29,none,Training,train
718,lot29,none,Training,train
721,lot29,none,Training,train
723,lot29,none,Training,train
724,lot29,none,Training,train
725,lot30,none,Training,validation
726,lot30,none,Training,validation
728,lot30,none,Training,validation
729,lot30,Center,Training,validation
730,lot30,none,Training,validation
731,lot30,none,Training,validation
733,lot30,none,Training,validation
734,lot30,none,Training,validation
735,lot30,none,Training,validation
736,lot30,none,Training,validation
737,lot30,none,Training,validation
739,lot30,none,Training,validation
740,lot30,none,Training,validation
741,lot30,none,Training,validation
742,lot30,none,Training,validation
743,lot30,Scratch,Training,validation
744,lot30,none,Training,validation
745,lot30,none,Training,validation
746,lot30,none,Training,validation
747,lot30,none,Training,validation
748,lot30,none,Training,validation
749,lot30,none,Training,validation
750,lot31,none,Training,train
751,lot31,none,Training,train
752,lot31,none,Training,train
754,lot31,none,Training,train
756,lot31,none,Training,train
757,lot31,none,Training,train
759,lot31,none,Training,train
760,lot31,none,Training,train
762,lot31,none,Training,train
763,lot31,none,Training,train
764,lot31,none,Training,train
765,lot31,none,Training,train
766,lot31,none,Training,train
769,lot31,none,Training,train
770,lot31,none,Training,train
771,lot31,none,Training,train
773,lot31,none,Training,train
774,lot31,none,Training,train
776,lot32,none,Training,validation
777,lot32,none,Training,validation
778,lot32,none,Training,validation
779,lot32,none,Training,validation
780,lot32,none,Training,validation
781,lot32,none,Training,validation
782,lot32,none,Training,validation
783,lot32,none,Training,validation
784,lot32,none,Training,validation
785,lot32,none,Training,validation
786,lot32,none,Training,validation
787,lot32,Edge-Loc,Training,validation
788,lot32,none,Training,validation
789,lot32,none,Training,validation
790,lot32,none,Training,validation
791,lot32,none,Training,validation
792,lot32,none,Training,validation
793,lot32,none,Training,validation
794,lot32,none,Training,validation
795,lot32,none,Training,validation
796,lot32,none,Training,validation
797,lot32,none,Training,validation
798,lot32,none,Training,validation
799,lot32,none,Training,validation
801,lot33,none,Training,validation
802,lot33,none,Training,validation
803,lot33,none,Training,validation
804,lot33,none,Training,validation
805,lot33,none,Training,validation
806,lot33,none,Training,validation
807,lot33,none,Training,validation
808,lot33,Edge-Loc,Training,validation
809,lot33,none,Training,validation
810,lot33,none,Training,validation
811,lot33,none,Training,validation
812,lot33,none,Training,validation
813,lot33,none,Training,validation
815,lot33,none,Training,validation
816,lot33,none,Training,validation
817,lot33,none,Training,validation
819,lot33,none,Training,validation
820,lot33,none,Training,validation
821,lot33,none,Training,validation
822,lot33,none,Training,validation
823,lot33,none,Training,validation
824,lot33,Loc,Training,validation
825,lot34,none,Training,train
826,lot34,none,Training,train
828,lot34,none,Training,train
829,lot34,none,Training,train
830,lot34,none,Training,train
832,lot34,Edge-Loc,Training,train
833,lot34,none,Training,train
834,lot34,none,Training,train
835,lot34,none,Training,train
836,lot34,none,Training,train
838,lot34,none,Training,train
839,lot34,none,Training,train
840,lot34,none,Training,train
841,lot34,none,Training,train
842,lot34,none,Training,train
843,lot34,none,Training,train
844,lot34,none,Training,train
845,lot34,none,Training,train
846,lot34,none,Training,train
848,lot34,none,Training,train
849,lot34,none,Training,train
850,lot35,none,Training,train
851,lot35,none,Training,train
852,lot35,none,Training,train
853,lot35,none,Training,train
854,lot35,none,Training,train
856,lot35,none,Training,train
857,lot35,none,Training,train
859,lot35,none,Training,train
860,lot35,none,Training,train
861,lot35,none,Training,train
863,lot35,none,Training,train
864,lot35,none,Training,train
867,lot35,none,Training,train
869,lot35,none,Training,train
870,lot35,none,Training,train
871,lot35,none,Training,train
872,lot35,none,Training,train
873,lot35,none,Training,train
874,lot35,none,Training,train
875,lot36,none,Training,train
877,lot36,none,Training,train
878,lot36,none,Training,train
879,lot36,none,Training,train
880,lot36,none,Training,train
881,lot36,none,Training,train
882,lot36,none,Training,train
883,lot36,none,Training,train
884,lot36,none,Training,train
885,lot36,none,Training,train
886,lot36,none,Training,train
887,lot36,none,Training,train
888,lot36,none,Training,train
890,lot36,none,Training,train
891,lot36,none,Training,train
893,lot36,Center,Training,train
894,lot36,none,Training,train
895,lot36,none,Training,train
897,lot36,none,Training,train
898,lot36,none,Training,train
899,lot36,none,Training,train
900,lot37,none,Training,train
901,lot37,none,Training,train
902,lot37,none,Training,train
903,lot37,none,Training,train
904,lot37,none,Training,train
905,lot37,none,Training,train
906,lot37,none,Training,train
907,lot37,none,Training,train
908,lot37,none,Training,train
909,lot37,none,Training,train
911,lot37,none,Training,train
912,lot37,none,Training,train
913,lot37,none,Training,train
914,lot37,none,Training,train
915,lot37,none,Training,train
916,lot37,none,Training,train
917,lot37,none,Training,train
918,lot37,none,Training,train
919,lot37,none,Training,train
920,lot37,none,Training,train
921,lot37,none,Training,train
924,lot37,none,Training,train
926,lot38,none,Training,validation
927,lot38,none,Training,validation
928,lot38,none,Training,validation
929,lot38,Near-full,Training,validation
930,lot38,none,Training,validation
931,lot38,none,Training,validation
934,lot38,none,Training,validation
936,lot38,none,Training,validation
937,lot38,none,Training,validation
938,lot38,none,Training,validation
939,lot38,none,Training,validation
941,lot38,none,Training,validation
942,lot38,none,Training,validation
943,lot38,none,Training,validation
944,lot38,none,Training,validation
945,lot38,none,Training,validation
946,lot38,none,Training,validation
947,lot38,none,Training,validation
948,lot38,none,Training,validation
949,lot38,none,Training,validation
950,lot39,none,Training,train
951,lot39,none,Training,train
952,lot39,Edge-Loc,Training,train
953,lot39,none,Training,train
954,lot39,none,Training,train
957,lot39,none,Training,train
958,lot39,none,Training,train
959,lot39,none,Training,train
960,lot39,none,Training,train
961,lot39,none,Training,train
962,lot39,none,Training,train
963,lot39,none,Training,train
964,lot39,none,Training,train
965,lot39,none,Training,train
966,lot39,none,Training,train
967,lot39,none,Training,train
968,lot39,none,Training,train
969,lot39,none,Training,train
970,lot39,none,Training,train
971,lot39,none,Training,train
972,lot39,none,Training,train
973,lot39,none,Training,train
975,lot40,none,Training,train
976,lot40,none,Training,train
977,lot40,none,Training,train
978,lot40,none,Training,train
979,lot40,none,Training,train
980,lot40,none,Training,train
981,lot40,none,Training,train
983,lot40,Random,Training,train
984,lot40,none,Training,train
985,lot40,none,Training,train
986,lot40,none,Training,train
987,lot40,none,Training,train
989,lot40,none,Training,train
990,lot40,none,Training,train
991,lot40,none,Training,train
992,lot40,none,Training,train
993,lot40,none,Training,train
994,lot40,none,Training,train
995,lot40,none,Training,train
996,lot40,none,Training,train
997,lot40,none,Training,train
998,lot40,none,Training,train
999,lot40,none,Training,train
1000,lot41,none,Training,validation
1001,lot41,none,Training,validation
1002,lot41,none,Training,validation
1004,lot41,none,Training,validation
1005,lot41,none,Training,validation
1006,lot41,none,Training,validation
1008,lot41,none,Training,validation
1009,lot41,none,Training,validation
1011,lot41,none,Training,validation
1012,lot41,none,Training,validation
1013,lot41,none,Training,validation
1017,lot41,none,Training,validation
1018,lot41,none,Training,validation
1023,lot41,none,Training,validation
1025,lot42,Edge-Loc,Training,train
1026,lot42,none,Training,train
1027,lot42,none,Training,train
1028,lot42,none,Training,train
1029,lot42,none,Training,train
1031,lot42,none,Training,train
1032,lot42,none,Training,train
1033,lot42,none,Training,train
1034,lot42,none,Training,train
1035,lot42,none,Training,train
1036,lot42,none,Training,train
1037,lot42,none,Training,train
1038,lot42,none,Training,train
1040,lot42,none,Training,train
1041,lot42,none,Training,train
1043,lot42,none,Training,train
1046,lot42,none,Training,train
1047,lot42,none,Training,train
1048,lot42,Loc,Training,train
1049,lot42,none,Training,train
1050,lot43,none,Training,train
1051,lot43,none,Training,train
1052,lot43,none,Training,train
1053,lot43,none,Training,train
1055,lot43,none,Training,train
1057,lot43,none,Training,train
1058,lot43,none,Training,train
1060,lot43,none,Training,train
1061,lot43,none,Training,train
1062,lot43,none,Training,train
1063,lot43,none,Training,train
1064,lot43,none,Training,train
1065,lot43,none,Training,train
1066,lot43,none,Training,train
1067,lot43,none,Training,train
1068,lot43,none,Training,train
1069,lot43,none,Training,train
1070,lot43,none,Training,train
1071,lot43,none,Training,train
1072,lot43,none,Training,train
1073,lot43,none,Training,train
1074,lot43,none,Training,train
1075,lot44,none,Training,test
1076,lot44,none,Training,test
1077,lot44,none,Training,test
1078,lot44,none,Training,test
1079,lot44,none,Training,test
1080,lot44,none,Training,test
1081,lot44,none,Training,test
1082,lot44,none,Training,test
1083,lot44,none,Training,test
1084,lot44,none,Training,test
1086,lot44,none,Training,test
1087,lot44,none,Training,test
1088,lot44,none,Training,test
1090,lot44,none,Training,test
1091,lot44,none,Training,test
1092,lot44,none,Training,test
1093,lot44,none,Training,test
1094,lot44,none,Training,test
1095,lot44,none,Training,test
1096,lot44,none,Training,test
1097,lot44,none,Training,test
1098,lot44,none,Training,test
1099,lot44,none,Training,test
1101,lot45,none,Training,train
1103,lot45,none,Training,train
1104,lot45,none,Training,train
1105,lot45,none,Training,train
1106,lot45,none,Training,train
1107,lot45,none,Training,train
1108,lot45,none,Training,train
1109,lot45,none,Training,train
1110,lot45,none,Training,train
1111,lot45,none,Training,train
1113,lot45,none,Training,train
1114,lot45,none,Training,train
1115,lot45,none,Training,train
1116,lot45,none,Training,train
1117,lot45,none,Training,train
1119,lot45,none,Training,train
1120,lot45,none,Training,train
1121,lot45,none,Training,train
1122,lot45,none,Training,train
1123,lot45,none,Training,train
1124,lot45,none,Training,train
1125,lot46,none,Training,train
1126,lot46,none,Training,train
1127,lot46,none,Training,train
1128,lot46,none,Training,train
1130,lot46,none,Training,train
1131,lot46,none,Training,train
1132,lot46,none,Training,train
1133,lot46,none,Training,train
1134,lot46,none,Training,train
1135,lot46,none,Training,train
1136,lot46,none,Training,train
1137,lot46,none,Training,train
1138,lot46,none,Training,train
1139,lot46,none,Training,train
1140,lot46,none,Training,train
1141,lot46,none,Training,train
1142,lot46,none,Training,train
1143,lot46,none,Training,train
1144,lot46,none,Training,train
1145,lot46,none,Training,train
1146,lot46,none,Training,train
1147,lot46,none,Training,train
1148,lot46,none,Training,train
1149,lot46,none,Training,train
1150,lot47,none,Training,train
1151,lot47,none,Training,train
1152,lot47,none,Training,train
1153,lot47,none,Training,train
1154,lot47,none,Training,train
1155,lot47,none,Training,train
1156,lot47,none,Training,train
1157,lot47,none,Training,train
1158,lot47,none,Training,train
1159,lot47,none,Training,train
1160,lot47,none,Training,train
1161,lot47,none,Training,train
1162,lot47,none,Training,train
1163,lot47,none,Training,train
1165,lot47,none,Training,train
1166,lot47,none,Training,train
1167,lot47,none,Training,train
1168,lot47,none,Training,train
1169,lot47,none,Training,train
1170,lot47,none,Training,train
1172,lot47,none,Training,train
1173,lot47,none,Training,train
1174,lot47,none,Training,train
1175,lot48,none,Training,train
1176,lot48,none,Training,train
1177,lot48,none,Training,train
